x坐标, y坐标
422,-0.00048
422.5,-0.00076
423,-0.00075
423.5,-0.00104
424,-0.00075
424.5,-0.00082
425,-0.00059
425.5,-0.00011
426,-0.00017
426.5,0.0005
427,0.00102
427.5,0.00078
428,0.00094
428.5,0.00105
429,0.00119
429.5,0.00127
430,0.00074
430.5,0.00104
431,0.00103
431.5,0.00152
432,0.00149
432.5,0.00136
433,0.00146
433.5,0.00126
434,0.00152
434.5,0.00177
435,0.00161
435.5,0.00132
436,0.00102
436.5,0.00075
437,0.00064
437.5,0.00054
438,0.001
438.5,0.0014
439,0.00107
439.5,0.00108
440,0.0009
440.5,0.00103
441,0.0011
441.5,0.001
442,0.0012
442.5,0.00132
443,0.001
443.5,0.00096
444,0.00093
444.5,0.00075
445,0.00039
445.5,0.00049
446,0.00045
446.5,0.00047
447,8.00E-05
447.5,0.00041
448,0.00061
448.5,0.00057
449,0.00084
449.5,0.00082
450,0.00067
450.5,0.00078
451,0.00082
451.5,0.001
452,0.00086
452.5,0.00048
453,7.00E-05
453.5,0.00014
454,3.00E-05
454.5,-0.00039
455,2.00E-05
455.5,8.00E-05
456,-0.00038
456.5,-0.00063
457,-0.00078
457.5,-0.00107
458,-0.00072
458.5,-0.00065
459,-0.00038
459.5,-0.00026
460,-0.00047
460.5,-0.00016
461,-0.00011
461.5,-0.00027
462,1.00E-05
462.5,0.00011
463,0.00026
463.5,0.00043
464,0.00068
464.5,0.00117
465,0.00082
465.5,0.00043
466,0.0003
466.5,-0.00028
467,-0.00022
467.5,-0.00032
468,-0.00027
468.5,-0.00074
469,-0.00094
469.5,-0.00122
470,-0.0012
470.5,-0.0011
471,-0.00099
471.5,-0.00103
472,-0.00065
472.5,-0.00059
473,-0.00024
473.5,-0.00033
474,-0.00061
474.5,-0.00072
475,-0.00097
475.5,-0.001
476,-0.00111
476.5,-0.00094
477,-0.00071
477.5,-0.00062
478,-0.00057
478.5,-0.00052
479,-0.00054
479.5,-7.00E-05
480,0.00013
480.5,0.00016
481,0.00033
481.5,0.00068
482,0.00054
482.5,0.00046
483,0.00035
483.5,0.00015
484,-4.00E-05
484.5,-0.00042
485,-0.00049
485.5,-0.00046
486,-0.00062
486.5,-0.0006
487,-0.00037
487.5,-0.00067
488,-0.00071
488.5,-0.00096
489,-0.00083
489.5,-0.00076
490,-0.00082
490.5,-0.00031
491,-0.00045
491.5,-0.00062
492,-0.00067
492.5,-0.00071
493,-0.00051
493.5,-0.00013
494,-6.00E-05
494.5,0.00017
495,3.00E-05
495.5,0.00016
496,7.00E-05
496.5,-0.00011
497,-0.0002
497.5,0
498,0.00046
498.5,0.00033
499,0.00052
499.5,0.0004
500,0.00037
500.5,5.00E-05
501,0.00021
501.5,-2.00E-05
502,-0.00029
502.5,-0.00015
503,1.00E-05
503.5,0.00015
504,0.00021
504.5,-0.00017
505,-0.00025
505.5,-0.00053
506,-0.00049
506.5,-0.00019
507,9.00E-05
507.5,-0.00031
508,-0.00038
508.5,-0.00059
509,-0.00094
509.5,-0.00088
510,-0.00087
510.5,-0.00079
511,-0.00067
511.5,-0.00071
512,-0.00041
512.5,-0.00017
513,-4.00E-05
513.5,0
514,-4.00E-05
514.5,-0.00014
515,-0.00011
515.5,8.00E-05
516,0.0002
516.5,0.00049
517,0.00056
517.5,5.00E-05
518,-0.00016
518.5,-0.00016
519,0.00022
519.5,0.00031
520,0.00042
520.5,0.00058
521,0.00096
521.5,0.00138
522,0.00159
522.5,0.00135
523,0.00144
523.5,0.00128
