姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Ray Scott,74--75,DET,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Ray Scott,73--74,DET,7,,,,,,,,,,,,,,,,,,,3,4,0.429
George Senesky,57--58,PHW,8,,,,,,,,,,,,,,,,,,,3,5,0.375
George Senesky,56--57,PHW,2,,,,,,,,,,,,,,,,,,,0,2,0.0
George Senesky,55--56,PHW,10,,,,,,,,,,,,,,,,,,,7,3,0.7
Paul Seymour,65--66,BAL,3,,,,,,,,,,,,,,,,,,,0,3,0.0
Paul Seymour,60--61,STL,12,,,,,,,,,,,,,,,,,,,5,7,0.41700000000000004
Paul Seymour,59--60,SYR,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Paul Seymour,58--59,SYR,9,,,,,,,,,,,,,,,,,,,5,4,0.556
Paul Seymour,57--58,SYR,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Paul Seymour,56--57,SYR,5,,,,,,,,,,,,,,,,,,,2,3,0.4
Bill Sharman,73--74,LAL,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Bill Sharman,72--73,LAL,17,,,,,,,,,,,,,,,,,,,9,8,0.529
Bill Sharman,71--72,LAL,15,,,,,,,,,,,,,,,,,,,12,3,0.8
Bill Sharman,67--68,SFW,10,,,,,,,,,,,,,,,,,,,4,6,0.4
Bill Sharman,66--67,SFW,15,,,,,,,,,,,,,,,,,,,9,6,0.6
Gene Shue,84--85,WSB,4,,,,,,,,,,,,,,,,,,,1,3,0.25
Gene Shue,83--84,WSB,4,,,,,,,,,,,,,,,,,,,1,3,0.25
Gene Shue,81--82,WSB,7,,,,,,,,,,,,,,,,,,,3,4,0.429
Gene Shue,76--77,PHI,19,,,,,,,,,,,,,,,,,,,10,9,0.526
Gene Shue,75--76,PHI,3,,,,,,,,,,,,,,,,,,,1,2,0.33299999999999996
Gene Shue,72--73,BAL,5,,,,,,,,,,,,,,,,,,,1,4,0.2
Gene Shue,71--72,BAL,6,,,,,,,,,,,,,,,,,,,2,4,0.33299999999999996
Gene Shue,70--71,BAL,18,,,,,,,,,,,,,,,,,,,8,10,0.444
Gene Shue,69--70,BAL,7,,,,,,,,,,,,,,,,,,,3,4,0.429
Gene Shue,68--69,BAL,4,,,,,,,,,,,,,,,,,,,0,4,0.0
Paul Silas,02--03,NOH,6,0.438,33.8,77.2,0.369,6.3,17.2,0.743,18.8,25.3,39.2,12.3,26.8,20.0,7.3,5.0,13.5,25.5,92.8,2,4,0.33299999999999996
Paul Silas,01--02,CHH,9,0.421,34.1,81.0,0.364,4.4,12.2,0.725,23.4,32.3,46.2,14.7,31.6,19.6,8.9,7.3,13.7,27.4,96.1,4,5,0.444
Paul Silas,00--01,CHH,10,0.434,33.9,78.1,0.3670000000000001,4.4,12.0,0.748,23.5,31.4,43.1,13.2,29.9,19.7,8.6,4.6,11.2,20.8,95.7,6,4,0.6
Paul Silas,99--00,CHH,4,0.43,32.3,75.0,0.3,4.5,15.0,0.8240000000000001,22.3,27.0,44.0,13.5,30.5,22.8,8.3,5.8,14.5,22.0,91.3,1,3,0.25
