姓名,赛季,球队,执教,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负,胜率
Mike Budenholzer,14--15,ATL,82,0.466,38.1,81.7,0.38,10.0,26.2,0.778,16.5,21.2,40.6,8.7,31.8,25.7,9.1,4.6,13.5,17.8,102.5,60,22,0.732
Mike Budenholzer,13--14,ATL,82,0.458,37.3,81.6,0.363,9.4,25.8,0.7809999999999999,17.0,21.7,40.0,8.7,31.3,24.9,8.3,4.0,14.5,19.2,101.0,38,44,0.46299999999999997
Walt Budko,50--51,BLB,29,,,,,,,,,,,,,,,,,,,10,19,0.345
Donnie Butcher,68--69,DET,22,,,,,,,,,,,,,,,,,,,10,12,0.455
Donnie Butcher,67--68,DET,82,,,,,,,,,,,,,,,,,,,40,42,0.488
Donnie Butcher,66--67,DET,8,,,,,,,,,,,,,,,,,,,2,6,0.25
Jeff Bzdelik,04--05,DEN,28,0.447,35.8,80.1,0.34700000000000003,3.9,11.2,0.731,19.4,26.6,40.9,11.5,29.4,22.8,8.7,5.9,15.2,22.0,94.9,13,15,0.46399999999999997
Jeff Bzdelik,03--04,DEN,82,0.443,36.5,82.5,0.336,4.0,12.0,0.767,20.2,26.3,42.3,13.2,29.1,21.9,9.1,6.3,14.6,22.0,97.2,43,39,0.524
Jeff Bzdelik,02--03,DEN,82,0.411,32.8,79.8,0.278,2.8,10.0,0.6990000000000001,15.8,22.6,42.4,13.6,28.8,21.2,8.7,5.1,17.4,25.1,84.2,17,65,0.207
John Calipari,98--99,NJN,20,0.386,31.8,82.3,0.279,3.1,11.0,0.754,18.8,25.0,43.8,13.9,29.9,17.3,9.7,6.5,16.6,25.4,85.4,3,17,0.15
John Calipari,97--98,NJN,82,0.441,37.3,84.5,0.331,3.8,11.4,0.7440000000000001,21.3,28.7,42.5,16.4,26.1,20.5,9.5,3.8,13.7,23.4,99.6,43,39,0.524
John Calipari,96--97,NJN,82,0.422,36.5,86.5,0.353,5.9,16.7,0.74,18.3,24.8,46.2,17.2,29.0,21.0,8.3,5.9,15.0,22.7,97.2,26,56,0.317
Mack Calvin,91--92,LAC,2,0.476,40.0,84.0,0.091,0.5,5.5,0.721,15.5,21.5,46.0,11.5,34.5,23.5,7.0,7.5,15.5,22.0,96.0,1,1,0.5
