姓名,赛季,球队,出手距离,篮下命中率,篮下命中,篮下出手,篮下占比,近距两分,近距命中,近距出手,近距占比,中距两分,中距命中,中距出手,中距占比,远距两分,远距命中,远距出手,远距占比,真实命中率,投篮效率
Chucky Atkins,00--01,DET,17.1,0.526,1.0,1.9,0.162,0.245,0.1,0.6,0.051,0.32,0.4,1.2,0.105,0.4320000000000001,1.7,3.8,0.326,0.481,0.463
Chucky Atkins,99--00,ORL,,,,,,,,,,,,,,,,,,0.489,0.462
Dick Atha,57--58,DET,,,,,,,,,,,,,,,,,,0.421,0.35100000000000003
Dick Atha,55--56,NYK,,,,,,,,,,,,,,,,,,0.466,0.403
Don Asmonga,53--54,BLB,,,,,,,,,,,,,,,,,,0.162,0.1
Keith Askins,98--99,MIA,,,,,,,,,,,,,,,,,,0.404,0.387
Keith Askins,97--98,MIA,,,,,,,,,,,,,,,,,,0.426,0.406
Keith Askins,96--97,MIA,,,,,,,,,,,,,,,,,,0.557,0.541
Keith Askins,95--96,MIA,,,,,,,,,,,,,,,,,,0.55,0.528
Keith Askins,94--95,MIA,,,,,,,,,,,,,,,,,,0.493,0.442
Keith Askins,93--94,MIA,,,,,,,,,,,,,,,,,,0.46,0.4320000000000001
Keith Askins,92--93,MIA,,,,,,,,,,,,,,,,,,0.4920000000000001,0.465
Keith Askins,91--92,MIA,,,,,,,,,,,,,,,,,,0.495,0.471
Keith Askins,90--91,MIA,,,,,,,,,,,,,,,,,,0.467,0.457
Vincent Askew,97--98,POR,,,,,,,,,,,,,,,,,,0.464,0.35200000000000004
Vincent Askew,96--97,TOT,,,,,,,,,,,,,,,,,,0.532,0.454
Vincent Askew,96--97,DEN,,,,,,,,,,,,,,,,,,0.773,0.667
Vincent Askew,96--97,IND,,,,,,,,,,,,,,,,,,0.528,0.451
Vincent Askew,96--97,NJN,,,,,,,,,,,,,,,,,,,
Vincent Askew,95--96,SEA,,,,,,,,,,,,,,,,,,0.574,0.526
Vincent Askew,94--95,SEA,,,,,,,,,,,,,,,,,,0.5770000000000001,0.523
Vincent Askew,93--94,SEA,,,,,,,,,,,,,,,,,,0.551,0.487
Vincent Askew,92--93,TOT,,,,,,,,,,,,,,,,,,0.55,0.4970000000000001
Vincent Askew,92--93,SAC,,,,,,,,,,,,,,,,,,0.5720000000000001,0.471
Vincent Askew,92--93,SEA,,,,,,,,,,,,,,,,,,0.5489999999999999,0.498
Vincent Askew,91--92,GSW,,,,,,,,,,,,,,,,,,0.5539999999999999,0.511
Vincent Askew,90--91,GSW,,,,,,,,,,,,,,,,,,0.5529999999999999,0.48
Vincent Askew,87--88,PHI,,,,,,,,,,,,,,,,,,0.33,0.297
Omer Asik,16--17,NOH,1.6,0.517,1.0,1.9,0.892,0.0,0.0,0.2,0.092,,,,0.0,,,,0.0,0.517,0.477
Omer Asik,15--16,NOH,1.5,0.59,1.4,2.4,0.851,0.231,0.1,0.4,0.133,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.005,0.551,0.5329999999999999
Omer Asik,14--15,NOH,1.8,0.5529999999999999,2.7,4.9,0.8959999999999999,0.21600000000000005,0.1,0.5,0.09,0.2,0.0,0.1,0.012,0.0,0.0,0.0,0.002,0.545,0.517
Omer Asik,13--14,HOU,2.8,0.597,1.9,3.1,0.784,0.273,0.2,0.7,0.174,0.75,0.1,0.1,0.021,0.0,0.0,0.1,0.021,0.57,0.532
Omer Asik,12--13,HOU,2.5,0.607,3.6,5.9,0.7879999999999999,0.274,0.4,1.4,0.184,0.375,0.0,0.1,0.013,0.5,0.0,0.1,0.013,0.5579999999999999,0.541
Omer Asik,11--12,CHI,2.4,0.545,1.0,1.9,0.7879999999999999,0.379,0.2,0.4,0.18600000000000005,0.5,0.0,0.0,0.013,0.0,0.0,0.0,0.013,0.509,0.506
Omer Asik,10--11,CHI,2.0,0.593,0.9,1.5,0.872,0.235,0.0,0.2,0.121,1.0,0.0,0.0,0.006999999999999999,,,,0.0,0.5589999999999999,0.5529999999999999
John Arthurs,69--70,MIL,,,,,,,,,,,,,,,,,,0.421,0.329
Darrell Arthur,16--17,DEN,18.7,0.6,0.4,0.7,0.14,0.0,0.0,0.2,0.033,0.471,0.2,0.4,0.079,0.364,0.4,1.1,0.205,0.583,0.565
Darrell Arthur,15--16,DEN,14.6,0.569,0.8,1.5,0.209,0.362,0.2,0.7,0.096,0.446,0.4,0.8,0.115,0.455,1.1,2.4,0.342,0.514,0.498
Darrell Arthur,14--15,DEN,16.8,0.623,0.6,0.9,0.138,0.458,0.2,0.4,0.063,0.434,0.4,0.9,0.138,0.431,1.1,2.5,0.375,0.466,0.438
Darrell Arthur,13--14,DEN,15.8,0.517,0.5,0.9,0.146,0.226,0.1,0.5,0.076,0.333,0.2,0.6,0.095,0.403,1.3,3.2,0.527,0.459,0.424
Darrell Arthur,12--13,MEM,11.9,0.545,0.8,1.5,0.245,0.345,0.3,0.9,0.153,0.418,0.5,1.1,0.187,0.473,1.1,2.2,0.365,0.477,0.458
Darrell Arthur,10--11,MEM,10.7,0.687,1.6,2.3,0.292,0.434,0.7,1.5,0.196,0.474,0.5,1.0,0.125,0.403,1.2,2.9,0.378,0.534,0.4970000000000001
Darrell Arthur,09--10,MEM,8.6,0.481,0.8,1.7,0.37,0.5,0.5,1.0,0.219,0.429,0.3,0.7,0.14400000000000002,0.316,0.4,1.2,0.26,0.449,0.4320000000000001
Darrell Arthur,08--09,MEM,8.8,0.5539999999999999,1.2,2.2,0.381,0.325,0.3,1.0,0.177,0.443,0.4,0.9,0.161,0.355,0.6,1.6,0.278,0.456,0.438
Carlos Arroyo,10--11,TOT,18.4,0.5,0.1,0.2,0.051,0.417,0.1,0.2,0.044,0.393,0.2,0.4,0.103,0.44,1.0,2.3,0.5489999999999999,0.528,0.496
Carlos Arroyo,10--11,BOS,16.4,0.5,0.1,0.3,0.114,0.0,0.0,0.1,0.029,0.333,0.1,0.4,0.171,0.211,0.3,1.3,0.5429999999999999,0.447,0.35700000000000004
Carlos Arroyo,10--11,MIA,18.7,0.5,0.1,0.2,0.042,0.455,0.1,0.2,0.046,0.409,0.2,0.4,0.092,0.473,1.3,2.7,0.55,0.541,0.517
Carlos Arroyo,09--10,MIA,16.0,0.488,0.3,0.6,0.115,0.417,0.1,0.2,0.032,0.5539999999999999,0.5,0.9,0.173,0.474,1.5,3.2,0.613,0.529,0.484
Carlos Arroyo,07--08,ORL,15.0,0.519,0.7,1.3,0.233,0.563,0.1,0.3,0.046,0.439,0.3,0.7,0.118,0.468,1.0,2.0,0.362,0.547,0.493
Carlos Arroyo,06--07,ORL,13.8,0.435,0.6,1.3,0.192,0.5,0.3,0.6,0.092,0.409,0.5,1.3,0.195,0.449,1.2,2.7,0.414,0.501,0.439
Carlos Arroyo,05--06,TOT,12.3,0.516,0.6,1.2,0.246,0.333,0.2,0.5,0.095,0.455,0.5,1.0,0.204,0.434,0.9,2.0,0.402,0.512,0.454
Carlos Arroyo,05--06,DET,12.4,0.436,0.3,0.8,0.248,0.091,0.0,0.2,0.07,0.457,0.3,0.7,0.223,0.318,0.4,1.3,0.42,0.433,0.369
Carlos Arroyo,05--06,ORL,12.3,0.574,1.1,2.0,0.244,0.44,0.4,0.9,0.113,0.452,0.7,1.6,0.19,0.523,1.7,3.2,0.389,0.569,0.514
Carlos Arroyo,04--05,TOT,12.8,0.518,0.8,1.6,0.261,0.269,0.1,0.4,0.061,0.3670000000000001,0.4,1.1,0.184,0.35700000000000004,0.9,2.6,0.424,0.466,0.399
Carlos Arroyo,04--05,DET,12.2,0.466,0.7,1.4,0.294,0.3,0.1,0.3,0.051,0.3670000000000001,0.3,0.7,0.152,0.368,0.8,2.2,0.442,0.458,0.378
Carlos Arroyo,04--05,UTA,13.3,0.574,1.0,1.8,0.233,0.25,0.1,0.5,0.069,0.3670000000000001,0.6,1.6,0.211,0.34700000000000003,1.1,3.2,0.409,0.474,0.416
Carlos Arroyo,03--04,UTA,14.5,0.515,1.2,2.4,0.22,0.275,0.2,0.6,0.052000000000000005,0.486,0.8,1.6,0.145,0.45,2.1,4.7,0.431,0.517,0.466
Carlos Arroyo,02--03,UTA,11.2,0.71,0.5,0.7,0.284,0.3,0.1,0.5,0.183,0.462,0.1,0.3,0.119,0.342,0.3,0.9,0.349,0.51,0.472
Carlos Arroyo,01--02,TOT,11.7,0.514,0.5,0.9,0.315,0.2,0.1,0.3,0.09,0.5710000000000001,0.1,0.2,0.063,0.439,0.7,1.5,0.514,0.467,0.441
Carlos Arroyo,01--02,DEN,12.6,0.435,0.5,1.1,0.28,0.28600000000000003,0.1,0.3,0.085,0.6,0.2,0.3,0.061,0.467,1.1,2.3,0.5489999999999999,0.464,0.439
Carlos Arroyo,01--02,TOR,9.2,0.667,0.5,0.7,0.414,0.0,0.0,0.2,0.103,0.5,0.1,0.1,0.069,0.333,0.2,0.7,0.414,0.474,0.448
Bob Arnzen,73--74,INA,,,,,,,,,,,,,,,,,,0.539,0.51
Bob Arnzen,72--73,INA,,,,,,,,,,,,,,,,,,0.5539999999999999,0.526
Bob Arnzen,70--71,CIN,,,,,,,,,,,,,,,,,,0.502,0.46
Bob Arnzen,69--70,NYA,,,,,,,,,,,,,,,,,,0.395,0.396
Jay Arnette,65--66,CIN,,,,,,,,,,,,,,,,,,0.16699999999999998,0.083
Jay Arnette,64--65,CIN,,,,,,,,,,,,,,,,,,0.428,0.369
Jay Arnette,63--64,CIN,,,,,,,,,,,,,,,,,,0.419,0.36
Jesse Arnelle,55--56,FTW,,,,,,,,,,,,,,,,,,0.378,0.314
Tate Armstrong,78--79,CHI,,,,,,,,,,,,,,,,,,0.436,0.393
Tate Armstrong,77--78,CHI,,,,,,,,,,,,,,,,,,0.487,0.466
Hilton Armstrong,13--14,GSW,6.9,0.778,0.5,0.6,0.474,0.0,0.0,0.2,0.158,0.2,0.1,0.3,0.263,0.5,0.1,0.1,0.105,0.48,0.474
Hilton Armstrong,10--11,TOT,8.6,0.621,0.3,0.5,0.382,0.421,0.2,0.4,0.25,0.231,0.1,0.2,0.171,0.545,0.1,0.2,0.145,0.508,0.5
Hilton Armstrong,10--11,ATL,10.7,0.5,0.2,0.3,0.333,0.0,0.0,0.2,0.16699999999999998,0.0,0.0,0.1,0.083,0.75,0.2,0.3,0.333,0.457,0.542
Hilton Armstrong,10--11,WAS,8.2,0.64,0.4,0.6,0.391,0.471,0.2,0.4,0.266,0.25,0.1,0.3,0.188,0.429,0.1,0.2,0.109,0.519,0.4920000000000001
Hilton Armstrong,09--10,TOT,6.8,0.5,0.5,1.1,0.456,0.316,0.2,0.6,0.241,0.182,0.1,0.3,0.139,0.16699999999999998,0.1,0.4,0.152,0.381,0.354
Hilton Armstrong,09--10,HOU,9.2,0.2,0.1,0.6,0.294,0.2,0.1,0.6,0.294,0.667,0.2,0.3,0.17600000000000002,0.333,0.1,0.3,0.17600000000000002,0.28,0.294
Hilton Armstrong,09--10,NOH,6.3,0.56,0.8,1.4,0.5,0.364,0.2,0.6,0.22,0.0,0.0,0.3,0.12,0.125,0.1,0.4,0.16,0.409,0.38
Hilton Armstrong,09--10,SAC,5.3,0.5,0.5,1.0,0.5,0.333,0.2,0.5,0.25,0.0,0.0,0.3,0.16699999999999998,0.0,0.0,0.2,0.083,0.388,0.333
Hilton Armstrong,08--09,NOH,5.1,0.696,1.4,2.0,0.561,0.444,0.3,0.8,0.22,0.353,0.2,0.5,0.138,0.333,0.1,0.3,0.073,0.585,0.561
