姓名,球队,薪金（万美元）,赛季
Donyell Marshall,TOR,502,04-05
Donyell Marshall,CLE,480,05-06
Donyell Marshall,CLE,563,06-07
Donyell Marshall,,602,07-08
Donyell Marshall,OKC,595,08-09
Donyell Marshall,PHI,126,08-09
Donny Marshall,CLE,20,95-96
Donny Marshall,CLE,45,96-97
Donny Marshall,CLE,54,97-98
Sean Marks,TOR,29,98-99
Sean Marks,TOR,39,99-00
Sean Marks,MIA,57,01-02
Sean Marks,MIA,61,02-03
Sean Marks,SAS,60,03-04
Sean Marks,SAS,75,04-05
Sean Marks,SAS,84,05-06
Sean Marks,PHO,93,06-07
Sean Marks,PHO,103,07-08
Sean Marks,NOH,114,08-09
Sean Marks,NOH,119,09-10
Sean Marks,CHA,126,10-11
Damir Markota,MIL,41,06-07
Shawn Marion,PHO,155,99-00
Shawn Marion,PHO,166,00-01
Shawn Marion,PHO,178,01-02
Shawn Marion,PHO,227,02-03
Shawn Marion,PHO,1096,03-04
Shawn Marion,PHO,1233,04-05
Shawn Marion,PHO,1370,05-06
Shawn Marion,PHO,1507,06-07
Shawn Marion,MIA,1644,07-08
Shawn Marion,TOR,1781,08-09
Shawn Marion,DAL,664,09-10
Shawn Marion,DAL,731,10-11
Shawn Marion,DAL,802,11-12
Shawn Marion,DAL,865,12-13
Shawn Marion,DAL,932,13-14
Shawn Marion,CLE,145,14-15
Sarunas Marciulionis,GSW,127,90-91
Sarunas Marciulionis,GSW,127,91-92
Sarunas Marciulionis,GSW,150,92-93
Sarunas Marciulionis,GSW,190,93-94
Sarunas Marciulionis,,210,94-95
Sarunas Marciulionis,SAC,240,95-96
Sarunas Marciulionis,DEN,250,96-97
Stephon Marbury,MIN,192,96-97
Stephon Marbury,MIN,227,97-98
Stephon Marbury,,256,98-99
Stephon Marbury,,900,99-00
Stephon Marbury,,1013,00-01
Stephon Marbury,PHO,1125,01-02
Stephon Marbury,PHO,1238,02-03
Stephon Marbury,PHO,1350,03-04
Stephon Marbury,NYK,1463,04-05
Stephon Marbury,NYK,1645,05-06
Stephon Marbury,NYK,1718,06-07
Stephon Marbury,NYK,1901,07-08
Stephon Marbury,NYK,2084,08-09
Pace Mannion,UTA,7,85-86
Rich Manning,,25,96-97
Danny Manning,LAC,165,88-89
Danny Manning,LAC,220,90-91
Danny Manning,LAC,230,91-92
Danny Manning,LAC,260,92-93
Danny Manning,LAC,325,93-94
Danny Manning,PHO,100,94-95
Danny Manning,PHO,683,95-96
Danny Manning,PHO,683,96-97
Danny Manning,PHO,683,97-98
Danny Manning,PHO,683,98-99
Danny Manning,MIL,683,99-00
Danny Manning,UTA,120,00-01
Danny Manning,MIL,683,00-01
Danny Manning,DAL,150,01-02
Danny Manning,DAL,90,02-03
Matt Maloney,HOU,25,96-97
Matt Maloney,HOU,33,97-98
Matt Maloney,CHI,60,99-00
Matt Maloney,HOU,208,99-00
Matt Maloney,HOU,179,00-01
Matt Maloney,ATL,61,00-01
Matt Maloney,HOU,254,01-02
Matt Maloney,ATL,17,02-03
Matt Maloney,HOU,278,02-03
Matt Maloney,HOU,301,03-04
Matt Maloney,HOU,324,04-05
Moses Malone,PHI,215,85-86
Moses Malone,,207,87-88
Moses Malone,ATL,150,88-89
Moses Malone,ATL,241,90-91
Moses Malone,MIL,160,91-92
Moses Malone,MIL,223,92-93
Moses Malone,PHI,120,93-94
Moses Malone,SAS,47,94-95
Moses Malone,PHI,30,94-95
Karl Malone,UTA,23,85-86
Karl Malone,UTA,84,87-88
Karl Malone,UTA,135,88-89
Karl Malone,UTA,226,90-91
Karl Malone,UTA,256,91-92
Karl Malone,UTA,285,92-93
Karl Malone,UTA,308,93-94
Karl Malone,UTA,338,94-95
Karl Malone,UTA,368,95-96
Karl Malone,UTA,466,96-97
Karl Malone,UTA,512,97-98
Karl Malone,UTA,614,98-99
Karl Malone,UTA,1400,99-00
Karl Malone,UTA,1575,00-01
Karl Malone,UTA,1750,01-02
Karl Malone,UTA,1925,02-03
Karl Malone,LAL,150,03-04
Jeff Malone,,23,85-86
Jeff Malone,,60,87-88
Jeff Malone,,82,88-89
Jeff Malone,UTA,92,90-91
Jeff Malone,UTA,158,91-92
Jeff Malone,UTA,198,92-93
Jeff Malone,UTA,238,93-94
Jeff Malone,PHI,193,94-95
Jeff Malone,PHI,238,95-96
Renaldo Major,GSW,2,06-07
Dan Majerle,PHO,45,88-89
Dan Majerle,PHO,43,90-91
Dan Majerle,PHO,54,91-92
Dan Majerle,PHO,74,92-93
Dan Majerle,PHO,298,93-94
Dan Majerle,PHO,300,94-95
Dan Majerle,CLE,310,95-96
Dan Majerle,MIA,235,96-97
Dan Majerle,MIA,282,97-98
Dan Majerle,MIA,329,98-99
Dan Majerle,MIA,360,99-00
Dan Majerle,MIA,405,00-01
Dan Majerle,PHO,100,01-02
Rick Mahorn,DET,41,85-86
Rick Mahorn,DET,58,87-88
Rick Mahorn,DET,60,88-89
Rick Mahorn,PHI,133,90-91
Rick Mahorn,,50,92-93
Rick Mahorn,,65,93-94
Rick Mahorn,,80,94-95
Rick Mahorn,,40,95-96
Rick Mahorn,DET,40,96-97
Rick Mahorn,DET,48,97-98
Rick Mahorn,PHI,100,98-99
Rick Mahorn,PHI,51,99-00
Ian Mahinmi,SAS,94,07-08
Ian Mahinmi,SAS,101,08-09
Ian Mahinmi,SAS,108,09-10
Ian Mahinmi,DAL,76,10-11
Ian Mahinmi,DAL,71,11-12
Ian Mahinmi,IND,400,12-13
Ian Mahinmi,IND,400,13-14
Ian Mahinmi,IND,400,14-15
Ian Mahinmi,IND,400,15-16
Ian Mahinmi,WAS,1594,16-17
Ian Mahinmi,WAS,1666,17-18
Ian Mahinmi,WAS,1594,18-19
Ian Mahinmi,WAS,1545,19-20
Jamaal Magloire,CHA,98,00-01
Jamaal Magloire,CHA,105,01-02
Jamaal Magloire,NOH,112,02-03
Jamaal Magloire,NOH,173,03-04
Jamaal Magloire,NOH,853,04-05
Jamaal Magloire,MIL,853,05-06
Jamaal Magloire,POR,843,06-07
Jamaal Magloire,,400,07-08
Jamaal Magloire,MIA,114,08-09
Jamaal Magloire,MIA,123,09-10
Jamaal Magloire,MIA,123,10-11
Jamaal Magloire,TOR,135,11-12
Jamaal Magloire,TOR,133,12-13
Corey Maggette,ORL,126,99-00
Corey Maggette,LAC,135,00-01
Corey Maggette,LAC,145,01-02
Corey Maggette,LAC,207,02-03
Corey Maggette,LAC,700,03-04
Corey Maggette,LAC,700,04-05
Corey Maggette,LAC,700,05-06
Corey Maggette,LAC,700,06-07
Corey Maggette,LAC,700,07-08
Corey Maggette,GSW,828,08-09
Corey Maggette,GSW,894,09-10
Corey Maggette,MIL,960,10-11
Corey Maggette,CHA,1026,11-12
Corey Maggette,DET,1092,12-13
Mark Madsen,LAL,71,00-01
Mark Madsen,LAL,76,01-02
Mark Madsen,LAL,81,02-03
Mark Madsen,MIN,66,03-04
Mark Madsen,MIN,75,04-05
Mark Madsen,MIN,200,05-06
Mark Madsen,MIN,221,06-07
Mark Madsen,MIN,242,07-08
Mark Madsen,MIN,263,08-09
Mark Madsen,LAC,284,09-10
Gerald Madkins,CLE,48,93-94
Gerald Madkins,CLE,62,94-95
Tito Maddox,HOU,35,02-03
Kyle Macy,CHI,31,85-86
Mark Macon,DEN,97,91-92
Mark Macon,DEN,123,92-93
Mark Macon,DET,150,93-94
Mark Macon,DET,177,94-95
Mark Macon,DET,204,95-96
Don MacLean,,46,92-93
Don MacLean,,60,93-94
Don MacLean,,74,94-95
Don MacLean,DEN,93,95-96
Don MacLean,PHI,178,96-97
Don MacLean,,212,97-98
Don MacLean,,246,98-99
Don MacLean,HOU,280,99-00
Don MacLean,HOU,238,00-01
Don MacLean,MIA,80,00-01
Don MacLean,TOR,97,01-02
Vernon Macklin,DET,47,11-12
Malcolm Mackey,PHO,55,93-94
Shelvin Mack,WAS,47,11-12
Shelvin Mack,WAS,7,12-13
Shelvin Mack,ATL,10,12-13
Shelvin Mack,PHI,9,12-13
Shelvin Mack,ATL,88,13-14
Shelvin Mack,ATL,243,14-15
Shelvin Mack,UTA,243,15-16
Shelvin Mack,UTA,243,16-17
Sam Mack,SAS,14,92-93
Sam Mack,HOU,25,96-97
Sam Mack,,46,97-98
Sam Mack,HOU,55,98-99
Sam Mack,GSW,32,99-00
Sam Mack,MIA,17,01-02
Arvydas Macijauskas,NOH,250,05-06
Arvydas Macijauskas,NOH,50,06-07
Arvydas Macijauskas,NOH,50,07-08
Todd MacCulloch,PHI,30,99-00
Todd MacCulloch,PHI,42,00-01
Todd MacCulloch,,454,01-02
Todd MacCulloch,PHI,499,02-03
Todd MacCulloch,PHI,545,03-04
Todd MacCulloch,PHI,590,04-05
Todd MacCulloch,PHI,635,05-06
Julius Nwosu,SAS,15,94-95
Dirk Nowitzki,DAL,147,98-99
Dirk Nowitzki,DAL,158,99-00
Dirk Nowitzki,DAL,169,00-01
Dirk Nowitzki,DAL,216,01-02
Dirk Nowitzki,DAL,1007,02-03
Dirk Nowitzki,DAL,1133,03-04
Dirk Nowitzki,DAL,1258,04-05
Dirk Nowitzki,DAL,1384,05-06
Dirk Nowitzki,DAL,1510,06-07
Dirk Nowitzki,DAL,1636,07-08
Dirk Nowitzki,DAL,1808,08-09
Dirk Nowitzki,DAL,1980,09-10
Dirk Nowitzki,DAL,1728,10-11
Dirk Nowitzki,DAL,1909,11-12
Dirk Nowitzki,DAL,2091,12-13
Dirk Nowitzki,DAL,2272,13-14
Dirk Nowitzki,DAL,797,14-15
Dirk Nowitzki,DAL,833,15-16
Dirk Nowitzki,DAL,2500,16-17
Dirk Nowitzki,DAL,500,17-18
Dirk Nowitzki,DAL,500,18-19
Steve Novak,HOU,60,06-07
Steve Novak,HOU,69,07-08
Steve Novak,LAC,80,08-09
Steve Novak,LAC,86,09-10
Steve Novak,DAL,38,10-11
Steve Novak,SAS,35,10-11
Steve Novak,NYK,99,11-12
Steve Novak,NYK,405,12-13
Steve Novak,TOR,375,13-14
Steve Novak,OKC,345,14-15
Steve Novak,DEN,375,15-16
Steve Novak,MIL,42,15-16
Steve Novak,MIL,155,16-17
Moochie Norris,,35,98-99
Moochie Norris,HOU,52,00-01
Moochie Norris,HOU,360,01-02
Moochie Norris,HOU,315,02-03
Moochie Norris,NYK,350,03-04
Moochie Norris,NYK,385,04-05
Moochie Norris,HOU,420,05-06
Ken Norman,LAC,25,87-88
Ken Norman,LAC,30,88-89
Ken Norman,LAC,105,90-91
Ken Norman,LAC,115,91-92
Ken Norman,LAC,128,92-93
Ken Norman,MIL,151,93-94
Ken Norman,LAC,128,93-94
Ken Norman,ATL,196,94-95
Ken Norman,ATL,242,95-96
Ken Norman,ATL,287,96-97
Ken Norman,ATL,333,97-98
Ken Norman,ATL,378,98-99
Jeff Nordgaard,MIL,24,97-98
David Noel,MIL,41,06-07
David Noel,MIL,69,07-08
Andres Nocioni,CHI,253,04-05
Andres Nocioni,CHI,278,05-06
Andres Nocioni,CHI,395,06-07
Andres Nocioni,CHI,850,07-08
Andres Nocioni,SAC,800,08-09
Andres Nocioni,SAC,750,09-10
Andres Nocioni,PHI,685,10-11
Andres Nocioni,PHI,665,11-12
Joakim Noah,CHI,214,07-08
Joakim Noah,CHI,230,08-09
Joakim Noah,CHI,246,09-10
Joakim Noah,CHI,313,10-11
Joakim Noah,CHI,1200,11-12
Joakim Noah,CHI,1130,12-13
Joakim Noah,CHI,1110,13-14
Joakim Noah,CHI,1220,14-15
Joakim Noah,CHI,1340,15-16
Joakim Noah,NYK,1700,16-17
Joakim Noah,NYK,1777,17-18
Joakim Noah,NYK,1853,18-19
Joakim Noah,NYK,1930,19-20
Norm Nixon,LAC,65,85-86
Norm Nixon,LAC,99,87-88
Norm Nixon,LAC,99,88-89
Kurt Nimphius,LAC,23,85-86
Kurt Nimphius,SAS,31,87-88
Gaylon Nickerson,SAS,15,96-97
Demetris Nichols,CHI,43,07-08
Demetris Nichols,CHI,9,08-09
Johnny Newman,NYK,28,87-88
Johnny Newman,NYK,53,88-89
Johnny Newman,CHA,120,90-91
Johnny Newman,CHA,121,91-92
Johnny Newman,CHA,118,92-93
Johnny Newman,,144,93-94
Johnny Newman,MIL,30,94-95
Johnny Newman,MIL,110,95-96
Johnny Newman,MIL,123,96-97
Johnny Newman,DEN,133,97-98
Johnny Newman,CLE,100,98-99
Johnny Newman,,110,99-00
Johnny Newman,,200,00-01
Johnny Newman,PHO,168,01-02
Johnny Newman,DAL,100,01-02
Ira Newble,SAS,32,00-01
Ira Newble,ATL,59,02-03
Ira Newble,CLE,246,03-04
Ira Newble,CLE,270,04-05
Ira Newble,CLE,295,05-06
Ira Newble,CLE,320,06-07
Ira Newble,,344,07-08
Ivano Newbill,DET,15,94-95
Ivano Newbill,ATL,25,96-97
Ivano Newbill,,27,97-98
Chuck Nevitt,DET,7,85-86
Chuck Nevitt,DET,16,87-88
Chuck Nevitt,HOU,20,88-89
Chuck Nevitt,CHI,12,91-92
Rasho Nesterovic,MIN,105,99-00
Rasho Nesterovic,MIN,112,00-01
Rasho Nesterovic,MIN,173,01-02
Rasho Nesterovic,MIN,244,02-03
Rasho Nesterovic,SAS,560,03-04
Rasho Nesterovic,SAS,616,04-05
Rasho Nesterovic,SAS,672,05-06
Rasho Nesterovic,TOR,728,06-07
Rasho Nesterovic,TOR,784,07-08
Rasho Nesterovic,IND,840,08-09
Rasho Nesterovic,TOR,199,09-10
Tyrone Nesby,LAC,29,98-99
Tyrone Nesby,LAC,272,99-00
Tyrone Nesby,WAS,299,00-01
Tyrone Nesby,WAS,326,01-02
Ruben Nembhard,MIA,5,97-98
Jameer Nelson,ORL,111,04-05
Jameer Nelson,ORL,119,05-06
Jameer Nelson,ORL,127,06-07
Jameer Nelson,ORL,196,07-08
Jameer Nelson,ORL,770,08-09
Jameer Nelson,ORL,614,09-10
Jameer Nelson,ORL,780,10-11
Jameer Nelson,ORL,780,11-12
Jameer Nelson,ORL,860,12-13
Jameer Nelson,ORL,860,13-14
Jameer Nelson,DEN,273,14-15
Jameer Nelson,DEN,450,15-16
Jameer Nelson,DEN,454,16-17
Jameer Nelson,DEN,474,17-18
DeMarcus Nelson,GSW,18,08-09
Ed Nealy,SAS,10,87-88
Ed Nealy,PHO,15,88-89
Ed Nealy,PHO,55,90-91
Ed Nealy,PHO,65,91-92
Ed Nealy,PHO,80,92-93
Gary Neal,SAS,53,10-11
Gary Neal,SAS,76,11-12
Gary Neal,SAS,85,12-13
Gary Neal,MIL,325,13-14
Gary Neal,MIN,325,14-15
Gary Neal,WAS,210,15-16
Gary Neal,ATL,7,16-17
Craig Neal,POR,10,88-89
Juan Carlos,MEM,54,07-08
Calvin Natt,DEN,76,85-86
Calvin Natt,DEN,81,87-88
Calvin Natt,DEN,41,88-89
Steve Nash,PHO,92,96-97
Steve Nash,PHO,105,97-98
Steve Nash,DAL,119,98-99
Steve Nash,DAL,550,99-00
Steve Nash,DAL,550,00-01
Steve Nash,DAL,575,01-02
Steve Nash,DAL,575,02-03
Steve Nash,DAL,575,03-04
Steve Nash,PHO,875,04-05
Steve Nash,PHO,963,05-06
Steve Nash,PHO,1050,06-07
Steve Nash,PHO,1138,07-08
Steve Nash,PHO,1225,08-09
Steve Nash,PHO,1313,09-10
Steve Nash,PHO,1031,10-11
Steve Nash,PHO,1169,11-12
Steve Nash,LAL,890,12-13
Steve Nash,LAL,930,13-14
Steve Nash,LAL,970,14-15
Larry Nance,PHO,50,85-86
Larry Nance,CLE,63,87-88
Larry Nance,CLE,80,88-89
Larry Nance,CLE,126,90-91
Larry Nance,CLE,136,91-92
Larry Nance,CLE,278,92-93
Larry Nance,CLE,284,93-94
Eduardo Najera,DAL,32,00-01
Eduardo Najera,DAL,47,01-02
Eduardo Najera,DAL,305,02-03
Eduardo Najera,DAL,343,03-04
Eduardo Najera,GSW,381,04-05
Eduardo Najera,DEN,419,05-06
Eduardo Najera,DEN,457,06-07
Eduardo Najera,DEN,495,07-08
Eduardo Najera,,325,08-09
Eduardo Najera,DAL,310,09-10
Eduardo Najera,CHA,300,10-11
Eduardo Najera,CHA,275,11-12
Lee Nailon,CHA,32,00-01
Lee Nailon,CHA,47,01-02
Lee Nailon,NYK,59,02-03
Lee Nailon,NOH,75,04-05
Lee Nailon,PHI,84,05-06
Bostjan Nachbar,HOU,122,02-03
Bostjan Nachbar,HOU,140,03-04
Bostjan Nachbar,HOU,149,04-05
Bostjan Nachbar,NOH,250,05-06
Bostjan Nachbar,,250,06-07
Bostjan Nachbar,,250,07-08
Boniface N,LAC,40,05-06
Boniface N,LAC,84,06-07
Mamadou N,DEN,74,00-01
Mamadou N,TOR,79,01-02
Mamadou N,TOR,85,02-03
Mamadou N,LAC,75,04-05
Makhtar N,,29,98-99
Makhtar N,ORL,39,99-00
Hamady N,WAS,47,10-11
Hamady N,WAS,27,11-12
Olumide Oyedeji,,32,00-01
Olumide Oyedeji,,47,01-02
Olumide Oyedeji,ORL,59,02-03
Ray Owes,GSW,22,96-97
Larry Owens,SAS,6,10-11
Larry Owens,,9,11-12
Keith Owens,LAL,13,91-92
Keith Owens,LAL,25,92-93
Chris Owens,MEM,35,02-03
Billy Owens,GSW,151,91-92
Billy Owens,GSW,196,92-93
Billy Owens,GSW,241,93-94
Billy Owens,MIA,287,94-95
Billy Owens,MIA,332,95-96
Billy Owens,SAC,377,96-97
Billy Owens,SAC,423,97-98
Billy Owens,,175,98-99
Billy Owens,GSW,209,99-00
Billy Owens,DET,210,00-01
Andre Owens,UTA,40,05-06
Andre Owens,GSW,68,06-07
Andre Owens,IND,69,07-08
Doug Overton,,14,92-93
Doug Overton,,50,93-94
Doug Overton,,55,94-95
Doug Overton,DEN,60,95-96
Doug Overton,PHI,25,96-97
Doug Overton,PHI,33,97-98
Doug Overton,PHI,60,98-99
Doug Overton,BOS,49,99-00
Doug Overton,PHI,10,99-00
Doug Overton,BOS,55,00-01
Doug Overton,LAC,59,03-04
Doug Overton,,10,03-04
Travis Outlaw,POR,94,03-04
Travis Outlaw,POR,101,04-05
Travis Outlaw,POR,108,05-06
Travis Outlaw,POR,184,06-07
Travis Outlaw,POR,400,07-08
Travis Outlaw,POR,400,08-09
Travis Outlaw,LAC,400,09-10
Travis Outlaw,,700,10-11
Travis Outlaw,,400,11-12
Travis Outlaw,SAC,300,11-12
Travis Outlaw,SAC,300,12-13
Travis Outlaw,BKN,100,12-13
Travis Outlaw,SAC,300,13-14
Travis Outlaw,BKN,400,14-15
Travis Outlaw,PHI,300,14-15
Bo Outlaw,LAC,25,94-95
Bo Outlaw,LAC,50,95-96
Bo Outlaw,LAC,60,96-97
Bo Outlaw,ORL,100,97-98
Bo Outlaw,ORL,115,98-99
Bo Outlaw,ORL,200,99-00
Bo Outlaw,ORL,450,00-01
Bo Outlaw,PHO,600,01-02
Bo Outlaw,PHO,659,02-03
Bo Outlaw,MEM,659,03-04
Bo Outlaw,MEM,657,04-05
Bo Outlaw,PHO,106,04-05
Bo Outlaw,ORL,114,05-06
Bo Outlaw,ORL,118,06-07
Bo Outlaw,ORL,16,07-08
Matt Othick,SAS,1,92-93
Greg Ostertag,UTA,50,95-96
Greg Ostertag,UTA,57,96-97
Greg Ostertag,UTA,65,97-98
Greg Ostertag,UTA,433,98-99
Greg Ostertag,UTA,520,99-00
Greg Ostertag,UTA,520,00-01
Greg Ostertag,UTA,693,01-02
Greg Ostertag,UTA,780,02-03
Greg Ostertag,UTA,867,03-04
Greg Ostertag,SAC,400,04-05
Greg Ostertag,UTA,440,05-06
Daniel Orton,ORL,103,10-11
Daniel Orton,ORL,111,11-12
Daniel Orton,OKC,76,12-13
Jose Ortiz,UTA,28,88-89
Louis Orr,NYK,43,85-86
Louis Orr,NYK,45,87-88
Michael Olowokandi,LAC,270,98-99
Michael Olowokandi,LAC,346,99-00
Michael Olowokandi,LAC,370,00-01
Michael Olowokandi,LAC,466,01-02
Michael Olowokandi,LAC,606,02-03
Michael Olowokandi,MIN,492,03-04
Michael Olowokandi,MIN,541,04-05
Michael Olowokandi,MIN,590,05-06
Michael Olowokandi,BOS,110,06-07
Kevin Ollie,DAL,27,97-98
Kevin Ollie,PHI,42,99-00
Kevin Ollie,,52,00-01
Kevin Ollie,CHI,59,01-02
Kevin Ollie,MIL,100,02-03
Kevin Ollie,CLE,246,03-04
Kevin Ollie,PHI,270,04-05
Kevin Ollie,PHI,295,05-06
Kevin Ollie,PHI,320,06-07
Kevin Ollie,PHI,344,07-08
Kevin Ollie,MIN,126,08-09
Kevin Ollie,OKC,131,09-10
Jimmy Oliver,CLE,20,91-92
Jimmy Oliver,WAS,27,97-98
Jimmy Oliver,NYK,1,99-00
Dean Oliver,GSW,33,01-02
Dean Oliver,GSW,12,02-03
Brian Oliver,PHI,46,90-91
Brian Oliver,PHI,46,91-92
Brian Oliver,PHI,46,92-93
Brian Oliver,PHI,46,93-94
Brian Oliver,,15,94-95
Jawann Oldham,CHI,18,85-86
Jawann Oldham,SAC,28,87-88
Jawann Oldham,SAC,32,88-89
Jawann Oldham,SAC,18,91-92
Mark Olberding,SAC,35,85-86
Hakeem Olajuwon,HOU,88,85-86
Hakeem Olajuwon,HOU,145,87-88
Hakeem Olajuwon,HOU,168,88-89
Hakeem Olajuwon,HOU,318,90-91
Hakeem Olajuwon,HOU,317,91-92
Hakeem Olajuwon,HOU,317,92-93
Hakeem Olajuwon,HOU,317,93-94
Hakeem Olajuwon,HOU,317,94-95
Hakeem Olajuwon,HOU,531,95-96
Hakeem Olajuwon,HOU,966,96-97
Hakeem Olajuwon,HOU,1116,97-98
Hakeem Olajuwon,HOU,1294,98-99
Hakeem Olajuwon,HOU,1430,99-00
Hakeem Olajuwon,HOU,1670,00-01
Hakeem Olajuwon,TOR,506,01-02
Hakeem Olajuwon,TOR,569,02-03
Hakeem Olajuwon,TOR,633,03-04
Mehmet Okur,DET,100,02-03
Mehmet Okur,DET,110,03-04
Mehmet Okur,UTA,750,04-05
Mehmet Okur,UTA,825,05-06
Mehmet Okur,UTA,825,06-07
Mehmet Okur,UTA,850,07-08
Mehmet Okur,UTA,850,08-09
Mehmet Okur,UTA,900,09-10
Mehmet Okur,UTA,995,10-11
Mehmet Okur,,1089,11-12
Emeka Okafor,CHA,374,04-05
Emeka Okafor,CHA,402,05-06
Emeka Okafor,CHA,430,06-07
Emeka Okafor,CHA,543,07-08
Emeka Okafor,CHA,954,08-09
Emeka Okafor,NOH,1054,09-10
Emeka Okafor,NOH,1150,10-11
Emeka Okafor,NOH,1254,11-12
Emeka Okafor,WAS,1349,12-13
Emeka Okafor,PHO,1449,13-14
Alan Ogg,MIA,13,90-91
Alan Ogg,MIA,20,91-92
Lamar Odom,LAC,245,99-00
Lamar Odom,LAC,263,00-01
Lamar Odom,LAC,281,01-02
Lamar Odom,LAC,356,02-03
Lamar Odom,MIA,996,03-04
Lamar Odom,LAL,1055,04-05
Lamar Odom,LAL,1147,05-06
Lamar Odom,LAL,1235,06-07
Lamar Odom,LAL,1325,07-08
Lamar Odom,LAL,1415,08-09
Lamar Odom,LAL,750,09-10
Lamar Odom,LAL,820,10-11
Lamar Odom,DAL,890,11-12
Lamar Odom,LAC,820,12-13
Lamar Odom,NYK,1,13-14
Greg Oden,POR,466,07-08
Greg Oden,POR,501,08-09
Greg Oden,POR,536,09-10
Greg Oden,POR,676,10-11
Greg Oden,POR,150,11-12
Greg Oden,MIA,103,13-14
Fabricio Oberto,SAS,233,05-06
Fabricio Oberto,SAS,250,06-07
Fabricio Oberto,SAS,360,07-08
Fabricio Oberto,SAS,360,08-09
Fabricio Oberto,WAS,210,09-10
Fabricio Oberto,DET,180,09-10
Fabricio Oberto,POR,99,10-11
Charles Oakley,CHI,23,85-86
Charles Oakley,CHI,47,87-88
Charles Oakley,NYK,100,88-89
Charles Oakley,NYK,105,90-91
Charles Oakley,NYK,105,91-92
Charles Oakley,NYK,105,92-93
Charles Oakley,NYK,195,93-94
Charles Oakley,NYK,220,94-95
Charles Oakley,NYK,240,95-96
Charles Oakley,NYK,260,96-97
Charles Oakley,NYK,285,97-98
Charles Oakley,TOR,1019,98-99
Charles Oakley,TOR,524,99-00
Charles Oakley,TOR,576,00-01
Charles Oakley,CHI,655,01-02
Charles Oakley,WAS,103,02-03
Dan O,,14,92-93
Shaquille O'Neal,ORL,300,92-93
Shaquille O'Neal,ORL,390,93-94
Shaquille O'Neal,ORL,480,94-95
Shaquille O'Neal,ORL,570,95-96
Shaquille O'Neal,LAL,1071,96-97
Shaquille O'Neal,LAL,1286,97-98
Shaquille O'Neal,LAL,1500,98-99
Shaquille O'Neal,LAL,1714,99-00
Shaquille O'Neal,LAL,1929,00-01
Shaquille O'Neal,LAL,2143,01-02
Shaquille O'Neal,LAL,2357,02-03
Shaquille O'Neal,LAL,2475,03-04
Shaquille O'Neal,MIA,2770,04-05
Shaquille O'Neal,MIA,2000,05-06
Shaquille O'Neal,MIA,2000,06-07
Shaquille O'Neal,PHO,2000,07-08
Shaquille O'Neal,PHO,2100,08-09
Shaquille O'Neal,CLE,2000,09-10
Shaquille O'Neal,BOS,135,10-11
Jermaine O,POR,83,96-97
Jermaine O,POR,95,97-98
Jermaine O,POR,108,98-99
Jermaine O,POR,508,99-00
Jermaine O,IND,571,00-01
Jermaine O,IND,633,01-02
Jermaine O,IND,690,02-03
Jermaine O,IND,1315,03-04
Jermaine O,IND,1480,04-05
Jermaine O,IND,1644,05-06
Jermaine O,IND,1808,06-07
Jermaine O,IND,1973,07-08
Jermaine O,MIA,2137,08-09
Jermaine O,MIA,2302,09-10
Jermaine O,BOS,577,10-11
Jermaine O,BOS,623,11-12
Jermaine O,PHO,135,12-13
Jermaine O,GSW,200,13-14
Mike O,,40,85-86
Mike O,,10,87-88
Patrick O,GSW,206,06-07
Patrick O,GSW,222,07-08
Patrick O,TOR,150,08-09
Patrick O,TOR,162,09-10
Ed O,,113,95-96
Ed O,,130,96-97
Ed O,ORL,147,97-98
Charles O,DET,32,97-98
Charles O,DET,32,98-99
Anthony Pullard,MIL,14,92-93
Joel Przybilla,MIL,162,00-01
Joel Przybilla,MIL,174,01-02
Joel Przybilla,MIL,186,02-03
Joel Przybilla,MIL,237,03-04
Joel Przybilla,POR,150,04-05
Joel Przybilla,POR,156,05-06
Joel Przybilla,POR,522,06-07
Joel Przybilla,POR,576,07-08
Joel Przybilla,POR,631,08-09
Joel Przybilla,POR,686,09-10
Joel Przybilla,CHA,741,10-11
Joel Przybilla,POR,115,11-12
Joel Przybilla,MIL,135,12-13
Gabe Pruitt,BOS,65,07-08
Gabe Pruitt,BOS,71,08-09
Laron Profit,WAS,30,99-00
Laron Profit,WAS,51,00-01
Laron Profit,ORL,63,01-02
Laron Profit,WAS,75,04-05
Laron Profit,LAL,75,05-06
Kevin Pritchard,GSW,19,90-91
Kevin Pritchard,SAS,16,91-92
Kevin Pritchard,BOS,13,91-92
Kevin Pritchard,SAS,16,92-93
Tayshaun Prince,DET,90,02-03
Tayshaun Prince,DET,97,03-04
Tayshaun Prince,DET,104,04-05
Tayshaun Prince,DET,176,05-06
Tayshaun Prince,DET,785,06-07
Tayshaun Prince,DET,868,07-08
Tayshaun Prince,DET,950,08-09
Tayshaun Prince,DET,1032,09-10
Tayshaun Prince,DET,1115,10-11
Tayshaun Prince,DET,629,11-12
Tayshaun Prince,MEM,676,12-13
Tayshaun Prince,MEM,724,13-14
Tayshaun Prince,DET,771,14-15
Tayshaun Prince,MIN,150,15-16
Ronnie Price,SAC,40,05-06
Ronnie Price,SAC,66,06-07
Ronnie Price,UTA,110,07-08
Ronnie Price,UTA,119,08-09
Ronnie Price,UTA,125,09-10
Ronnie Price,UTA,138,10-11
Ronnie Price,PHO,107,11-12
Ronnie Price,ORL,127,13-14
