,XH,午餐平均消费,早餐次数,洗澡花销,洗澡次数,成绩等级
524,201418025,9.691891892,16,67.69,15,20
525,201418027,13.42857143,3,20.86,9,20
526,201418030,12.43195122,11,25.9,5,20
527,201418031,11.797,8,23.73,4,20
528,201418032,10.46315789,50,116.13,31,20
529,201418033,7.733863636,23,12.74,4,20
530,201418034,9.211923077,46,29.19,10,20
531,201418035,11.51441176,35,36.26,13,20
532,201418036,21.48533333,19,59.57,19,20
533,201418037,11,9,9.66,4,20
534,201418038,10.92126126,22,98.14,28,15
535,201418039,11.63,20,143.36,20,20
536,201418053,12.16875,8,14.42,5,20
537,201418055,11.84545455,1,6.09,1,20
538,201418057,14.35681818,11,4.83,1,20
539,201418064,9.889795918,15,77.07,19,20
540,201418068,9.255555556,11,109.13,26,20
541,201418069,8.041666667,2,162.12,29,20
542,201418070,14.83857143,66,76.93,13,10
543,201418074,9.907352941,24,50.54,11,10
544,201418075,10.8388172,29,190.61,38,10
545,201418076,9.676585366,20,204.4,60,10
546,201418077,13.35363636,34,65.31,11,10
547,201418078,4.857142857,7,5.32,4,10
548,201418079,8.140894309,123,238.98,55,10
549,201418081,9.398360656,12,57.64,9,20
550,201418085,10.20967742,12,215.32,51,20
551,201418121,11.72538462,1,14.7,4,20
552,201418122,7.5,3,66.36,14,20
553,201418124,5.986904762,28,106.26,21,20
554,201418132,8.606521739,25,53.55,20,20
555,201418134,9.716666667,1,53.9,9,20
556,201418135,10.9775,1,88.62,21,20
557,201419020,12.74285714,3,54.07,11,20
558,201419021,10.13380282,41,101.09,33,10
559,201419022,12.2125,4,14.02,10,10
560,201419023,9.534821429,9,21.22,11,20
561,201419025,10.03448276,7,205.51,42,20
562,201419026,9.212790698,64,66.69,26,10
563,201419027,9.184210526,44,66.76,16,10
564,201419031,12.61842105,3,2.6,1,10
565,201419039,13.53846154,53,114.58,57,10
566,201419040,13.6,1,20.78,21,20
567,201419041,13.17307692,6,51.84,25,20
568,201419043,11.44444444,1,112.44,39,15
569,201419046,12.33913043,7,19.11,8,20
570,201419047,12.46590909,19,52.26,19,20
571,201419049,12.35740741,7,76.2,47,20
572,201419120,10.375,44,110.92,43,20
573,201419121,16.38169014,85,70.32,14,10
574,201419122,9.096666667,26,26.86,16,15
575,201419126,15.33402778,32,48.04,19,15
576,201419128,8.940123457,20,15.66,12,20
577,201419129,13.78522727,26,9.4,3,10
578,201419131,11.72844037,71,153.26,43,15
579,201419137,9.31122449,10,69.56,24,15
580,201419138,10.09391304,30,64.81,55,15
581,201419139,13.86741573,93,10,6,10
582,201419220,11.53181818,7,16.57,9,10
583,201419223,11.05636364,12,14.4,7,15
584,201419227,10.16666667,6,337.34,47,20
585,201419228,10.10075758,16,96.09,17,10
586,201419229,9.942307692,16,142.7,48,20
587,201419320,9.8125,3,67.58,30,10
588,201419321,12.61590909,9,6,3,15
589,201419322,10.365,18,148.48,19,10
590,201419323,12.90178571,14,195.33,51,10
591,201419325,11.08738318,36,14.5,10,10
592,201419326,10.65434783,16,12.2,4,15
593,201419327,11.34354839,55,25.53,17,10
594,201419421,8,5,10.6,5,20
595,201419422,11.55172414,4,53.17,26,15
596,201419423,12.92045455,12,31.14,9,20
597,201419425,9.995652174,4,13.06,8,15
598,201419426,9.57607362,25,25.67,7,20
599,201419427,8.241935484,85,81.39,30,10
600,201419428,10.12410714,70,161.69,62,20
601,201419429,9.568915663,26,85.19,29,10
602,201420001,15.35,14,206.92,45,10
603,201420004,11.13666667,261,44.66,18,20
604,201420007,11.59833333,1,649.6,85,10
605,201420008,10.0547619,24,358.55,80,20
606,201420009,11.03146341,28,160.58,28,10
607,201420023,14.78181818,14,120.47,34,20
608,201420027,10.14368421,16,22.12,5,10
609,201420036,8.199166667,32,217.28,37,10
610,201420040,6.898,5,57.52,17,15
611,201420041,15.06703704,7,5.53,2,10
612,201420042,10.463,4,24.43,6,20
613,201420043,10.67012346,58,159.32,40,15
614,201420045,8.951694915,3,121.03,22,10
615,201420047,5.975952381,75,37.94,16,10
616,201420048,6.279428571,1,66.57,21,15
617,201420049,6.55,44,40.04,12,10
618,201420050,11.17153846,14,226.97,24,20
619,201420052,7.570645161,54,162.82,21,20
620,201420090,24.95,1,7,1,10
621,201420093,14.675,1,82.67,15,10
622,201420098,10,1,66.29,13,10
623,201420104,11.225,1,67.48,8,20
624,201421014,12.10714286,1,226.04,42,20
625,201421015,9.367647059,13,33.39,14,20
626,201421016,11.22875,15,221.76,47,20
627,201421110,11.275,19,87.71,13,20
628,201421111,9.295769231,66,381.75,55,20
629,201421115,11.58769231,14,51.59,12,20
630,201421119,8.6,2,144.83,30,20
631,201422066,11.54028986,69,15.61,3,20
632,201422080,5.820512821,1,45.01,12,10
633,201422110,13.02818182,11,54.86,12,20
634,201423005,10.24,1,30.1,8,20
635,201424000,10.69307692,26,9.73,1,20
636,201424001,13.32781818,3,55.51,8,20
637,201424002,14.12916667,26,32.69,10,20
638,201424003,7.528947368,2,27.23,5,20
639,201424004,12.25863636,9,40.84,7,20
640,201424006,11.83030303,49,66.99,20,20
641,201424008,12.18139535,76,8.82,3,20
642,201424009,12.45694915,6,25.48,5,20
643,201424010,7.860277778,75,79.45,28,20
