姓名,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
Bird Averitt,77--78,BUF,34.0,,19.9,0.436,3.8,8.7,,,,0.667,1.9,2.8,1.5,0.3,1.2,3.8,0.6,0.2,2.6,2.5,9.5,,
Bird Averitt,77--78,NJN,21.0,,19.5,0.3670000000000001,3.3,9.0,,,,0.8,1.7,2.1,1.6,0.3,1.2,3.2,0.8,0.0,2.6,1.8,8.3,,
Bird Averitt,76--77,BUF,75.0,,15.1,0.378,3.1,8.3,,,,0.716,1.6,2.3,1.0,0.3,0.8,1.8,0.4,0.1,,1.7,7.9,,
Bird Averitt,75--76,KEN,78.0,,29.1,0.429,7.0,16.3,0.313,0.5,1.6,0.769,3.4,4.4,2.7,0.7,2.0,3.8,1.4,0.3,2.8,2.7,17.9,,
Bird Averitt,74--75,KEN,84.0,,24.2,0.416,5.0,12.1,0.149,0.1,0.6,0.778,3.0,3.8,2.2,0.6,1.6,3.8,1.0,0.2,2.8,2.5,13.1,,
Bird Averitt,73--74,SAA,74.0,,22.1,0.376,4.6,12.3,0.18,0.1,0.7,0.696,2.1,3.0,1.6,0.6,1.0,1.8,0.9,0.1,1.9,2.2,11.5,,
Anthony Avent,99--00,LAC,49.0,3.0,7.7,0.302,0.6,2.0,,0.0,0.0,0.7190000000000001,0.5,0.7,1.5,0.5,1.0,0.2,0.3,0.3,0.5,1.3,1.7,11.0,38.0
Anthony Avent,98--99,UTA,5.0,0.0,8.8,0.308,0.8,2.6,,0.0,0.0,0.5,0.2,0.4,2.4,1.6,0.8,0.2,0.4,0.0,1.4,1.2,1.8,4.0,1.0
Anthony Avent,95--96,VAN,71.0,32.0,22.3,0.384,2.5,6.6,,0.0,0.0,0.74,0.8,1.1,5.0,1.5,3.5,1.0,0.4,0.6,1.5,2.8,5.8,14.0,57.0
Anthony Avent,94--95,ORL,71.0,3.0,15.0,0.43,1.5,3.4,,0.0,0.0,0.64,0.7,1.1,4.1,1.4,2.8,0.6,0.4,0.7,0.7,2.4,3.6,49.0,22.0
Anthony Avent,93--94,TOT,74.0,40.0,18.5,0.377,2.0,5.4,,0.0,0.0,0.7240000000000001,1.2,1.7,4.6,1.9,2.6,0.9,0.4,0.4,1.1,2.0,5.3,34.0,40.0
Anthony Avent,93--94,ORL,41.0,20.0,16.5,0.341,1.4,4.1,,0.0,0.0,0.636,0.7,1.1,4.5,2.0,2.4,0.8,0.4,0.3,1.0,2.1,3.5,25.0,16.0
Anthony Avent,93--94,MIL,33.0,20.0,21.1,0.404,2.8,6.9,,0.0,0.0,0.772,1.8,2.4,4.7,1.8,2.8,1.0,0.5,0.6,1.3,1.8,7.4,9.0,24.0
Anthony Avent,92--93,MIL,82.0,78.0,27.9,0.433,4.2,9.8,0.0,0.0,0.0,0.6509999999999999,1.4,2.1,6.2,2.2,4.0,1.1,0.7,0.9,1.7,2.9,9.8,28.0,54.0
Ken Austin,83--84,DET,7.0,0.0,4.0,0.462,0.9,1.9,,0.0,0.0,,0.0,0.0,0.4,0.3,0.1,0.1,0.1,0.1,0.4,1.0,1.7,,
Johnny Austin,67--68,NJA,41.0,,16.9,0.387,2.6,6.8,0.0,0.0,0.3,0.721,2.5,3.4,1.6,,,1.4,,,1.4,2.7,7.7,,
Johnny Austin,66--67,BAL,4.0,,15.3,0.227,1.3,5.5,,,,0.813,3.3,4.0,1.8,,,1.0,,,,3.0,5.8,,
Isaac Austin,01--02,MEM,21.0,8.0,14.6,0.391,1.7,4.4,0.0,0.0,0.1,1.0,0.2,0.2,3.4,0.5,2.9,0.6,0.4,0.2,0.5,1.7,3.6,5.0,16.0
Isaac Austin,00--01,VAN,52.0,16.0,16.3,0.35600000000000004,1.8,5.2,0.25,0.1,0.5,0.7,0.5,0.8,4.3,1.0,3.3,1.1,0.4,0.4,1.0,1.8,4.3,15.0,37.0
Isaac Austin,99--00,WAS,59.0,23.0,19.9,0.429,2.6,6.0,0.25,0.0,0.1,0.6859999999999999,1.6,2.3,4.8,1.1,3.7,1.3,0.3,0.6,1.8,2.2,6.7,19.0,40.0
Isaac Austin,98--99,ORL,49.0,49.0,25.7,0.408,3.8,9.2,0.28600000000000003,0.0,0.1,0.669,2.1,3.2,4.8,1.7,3.1,1.8,1.0,0.7,2.3,2.6,9.7,33.0,16.0
Isaac Austin,97--98,TOT,78.0,50.0,29.1,0.466,5.2,11.2,0.0,0.0,0.1,0.669,3.1,4.7,7.1,2.6,4.6,2.2,0.8,0.7,2.6,3.0,13.5,40.0,38.0
Isaac Austin,97--98,LAC,26.0,25.0,34.4,0.454,5.9,13.0,0.0,0.0,0.2,0.652,3.4,5.2,8.7,3.1,5.7,3.4,0.7,0.8,3.4,2.7,15.2,6.0,20.0
Isaac Austin,97--98,MIA,52.0,25.0,26.4,0.474,4.8,10.2,0.0,0.0,0.1,0.68,3.0,4.4,6.3,2.3,4.1,1.7,0.8,0.7,2.3,3.1,12.7,34.0,18.0
