姓名,赛季,球队,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
Tim Legler,92--93,UTA,2.0,1.0,1.0,1.0,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Tim Legler,90--91,DEN,25.0,0.75,6.0,15.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,5.0,14.0
Tim Legler,89--90,PHO,17.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,8.0
Malcolm Lee,14--15,PHI,2.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Lee,12--13,MIN,35.0,1.0,4.0,12.0,1.0,2.0,5.0,1.0,4.0,6.0,8.0,5.0,8.0,3.0,2.0,1.0,2.0,6.0,10.0
Malcolm Lee,11--12,MIN,23.0,1.0,4.0,6.0,0.5,1.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,9.0
Kurk Lee,90--91,NJN,16.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,5.0,6.0,4.0,2.0,4.0,6.0,2.0,1.0,3.0,3.0,8.0
Keith Lee,88--89,NJN,34.0,1.0,8.0,13.0,0.0,0.0,1.0,1.0,4.0,6.0,12.0,4.0,10.0,3.0,2.0,4.0,4.0,6.0,16.0
Keith Lee,86--87,CLE,29.0,1.0,7.0,14.0,0.0,0.0,1.0,1.0,6.0,7.0,14.0,7.0,8.0,5.0,2.0,4.0,5.0,5.0,20.0
Keith Lee,85--86,CLE,43.0,1.0,8.0,15.0,1.0,1.0,3.0,1.0,9.0,9.0,17.0,7.0,10.0,7.0,3.0,4.0,6.0,6.0,25.0
Doug Lee,94--95,SAC,13.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,5.0,10.0
Doug Lee,92--93,NJN,10.0,0.5,2.0,4.0,0.333,1.0,3.0,,0.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,5.0
Doug Lee,91--92,NJN,28.0,1.0,4.0,10.0,1.0,2.0,4.0,1.0,4.0,7.0,7.0,2.0,6.0,4.0,2.0,1.0,2.0,4.0,9.0
David Lee,16--17,SAS,36.0,1.0,8.0,16.0,,0.0,0.0,1.0,4.0,6.0,16.0,7.0,11.0,6.0,2.0,2.0,4.0,4.0,18.0
David Lee,15--16,TOT,27.0,1.0,8.0,12.0,0.0,0.0,1.0,1.0,6.0,7.0,16.0,7.0,9.0,6.0,2.0,4.0,3.0,5.0,20.0
David Lee,15--16,DAL,27.0,1.0,8.0,11.0,,0.0,0.0,1.0,5.0,7.0,16.0,7.0,9.0,6.0,2.0,4.0,3.0,5.0,20.0
David Lee,15--16,BOS,25.0,1.0,5.0,12.0,0.0,0.0,1.0,1.0,6.0,7.0,8.0,5.0,6.0,5.0,2.0,2.0,3.0,4.0,14.0
David Lee,14--15,GSW,31.0,1.0,10.0,17.0,0.0,0.0,1.0,1.0,6.0,6.0,12.0,6.0,9.0,7.0,3.0,2.0,4.0,4.0,24.0
David Lee,13--14,GSW,45.0,0.857,13.0,22.0,0.0,0.0,1.0,1.0,12.0,13.0,18.0,7.0,13.0,6.0,3.0,2.0,5.0,6.0,32.0
David Lee,12--13,GSW,48.0,0.867,14.0,22.0,0.0,0.0,1.0,1.0,11.0,12.0,22.0,7.0,17.0,11.0,4.0,2.0,6.0,6.0,31.0
David Lee,11--12,GSW,48.0,0.833,13.0,25.0,0.0,0.0,1.0,1.0,8.0,10.0,16.0,8.0,14.0,10.0,4.0,2.0,7.0,6.0,31.0
David Lee,10--11,GSW,48.0,0.889,15.0,26.0,1.0,1.0,1.0,1.0,12.0,14.0,20.0,9.0,16.0,9.0,4.0,2.0,6.0,6.0,33.0
David Lee,09--10,NYK,50.0,0.846,14.0,26.0,0.0,0.0,2.0,1.0,9.0,10.0,21.0,8.0,16.0,10.0,4.0,3.0,5.0,5.0,37.0
David Lee,08--09,NYK,45.0,1.0,16.0,29.0,0.0,0.0,1.0,1.0,9.0,9.0,21.0,8.0,17.0,7.0,5.0,3.0,6.0,6.0,37.0
David Lee,07--08,NYK,50.0,1.0,9.0,16.0,0.0,0.0,1.0,1.0,8.0,10.0,16.0,9.0,13.0,3.0,3.0,2.0,4.0,6.0,24.0
David Lee,06--07,NYK,49.0,1.0,9.0,13.0,,0.0,0.0,1.0,10.0,12.0,20.0,8.0,15.0,8.0,4.0,3.0,7.0,6.0,20.0
David Lee,05--06,NYK,52.0,1.0,10.0,11.0,,0.0,0.0,1.0,5.0,9.0,15.0,7.0,12.0,3.0,4.0,4.0,4.0,6.0,23.0
Courtney Lee,16--17,NYK,52.0,1.0,10.0,16.0,1.0,4.0,8.0,1.0,8.0,8.0,9.0,3.0,7.0,7.0,5.0,2.0,3.0,6.0,25.0
Courtney Lee,15--16,TOT,41.0,1.0,8.0,14.0,1.0,4.0,6.0,1.0,6.0,7.0,7.0,2.0,7.0,6.0,4.0,2.0,4.0,5.0,18.0
Courtney Lee,15--16,CHA,39.0,0.778,8.0,13.0,1.0,4.0,6.0,1.0,5.0,6.0,6.0,2.0,6.0,6.0,4.0,2.0,3.0,5.0,17.0
Courtney Lee,15--16,MEM,41.0,1.0,8.0,14.0,1.0,3.0,6.0,1.0,6.0,7.0,7.0,2.0,7.0,6.0,4.0,2.0,4.0,5.0,18.0
Courtney Lee,14--15,MEM,53.0,0.857,9.0,14.0,1.0,4.0,7.0,1.0,5.0,6.0,8.0,2.0,7.0,5.0,3.0,1.0,5.0,6.0,22.0
Courtney Lee,13--14,TOT,40.0,0.8,10.0,16.0,1.0,5.0,8.0,1.0,6.0,7.0,9.0,3.0,8.0,7.0,3.0,2.0,4.0,6.0,24.0
Courtney Lee,13--14,MEM,40.0,0.75,10.0,15.0,1.0,5.0,8.0,1.0,6.0,7.0,9.0,3.0,8.0,7.0,3.0,2.0,4.0,5.0,24.0
Courtney Lee,13--14,BOS,26.0,0.8,7.0,16.0,1.0,3.0,5.0,1.0,3.0,4.0,5.0,2.0,5.0,3.0,2.0,2.0,3.0,6.0,18.0
Courtney Lee,12--13,BOS,40.0,1.0,9.0,16.0,1.0,3.0,6.0,1.0,5.0,6.0,9.0,3.0,6.0,5.0,3.0,3.0,4.0,5.0,20.0
Courtney Lee,11--12,HOU,45.0,0.833,11.0,20.0,1.0,4.0,10.0,1.0,6.0,8.0,7.0,2.0,6.0,4.0,4.0,2.0,4.0,6.0,25.0
Courtney Lee,10--11,HOU,42.0,1.0,10.0,16.0,1.0,5.0,8.0,1.0,9.0,9.0,8.0,4.0,6.0,6.0,3.0,2.0,4.0,5.0,25.0
Courtney Lee,09--10,NJN,51.0,1.0,13.0,20.0,1.0,5.0,10.0,1.0,7.0,8.0,8.0,4.0,7.0,6.0,6.0,2.0,4.0,5.0,30.0
Courtney Lee,08--09,ORL,43.0,1.0,9.0,18.0,1.0,4.0,12.0,1.0,8.0,8.0,7.0,2.0,6.0,4.0,3.0,2.0,3.0,6.0,22.0
Eric Leckner,96--97,TOT,14.0,1.0,3.0,5.0,,0.0,0.0,1.0,2.0,4.0,6.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,6.0
Eric Leckner,96--97,VAN,14.0,1.0,3.0,5.0,,0.0,0.0,1.0,2.0,4.0,6.0,1.0,5.0,1.0,1.0,1.0,2.0,4.0,6.0
Eric Leckner,96--97,CHH,11.0,0.0,0.0,3.0,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
Eric Leckner,95--96,DET,29.0,1.0,6.0,8.0,,0.0,0.0,1.0,2.0,2.0,6.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,13.0
Eric Leckner,94--95,DET,30.0,1.0,8.0,9.0,0.0,0.0,1.0,1.0,7.0,9.0,10.0,4.0,9.0,2.0,2.0,2.0,5.0,6.0,16.0
Eric Leckner,93--94,PHI,35.0,1.0,8.0,11.0,0.0,0.0,1.0,1.0,7.0,8.0,17.0,5.0,13.0,6.0,2.0,4.0,5.0,6.0,16.0
Eric Leckner,91--92,CHH,28.0,1.0,5.0,9.0,0.0,0.0,1.0,1.0,7.0,10.0,12.0,4.0,10.0,4.0,3.0,4.0,3.0,6.0,11.0
Eric Leckner,90--91,TOT,32.0,1.0,6.0,10.0,,0.0,0.0,1.0,5.0,6.0,12.0,5.0,9.0,3.0,2.0,2.0,4.0,6.0,13.0
Eric Leckner,90--91,CHH,32.0,1.0,6.0,10.0,,0.0,0.0,1.0,5.0,6.0,12.0,5.0,9.0,3.0,2.0,2.0,4.0,6.0,13.0
Eric Leckner,90--91,SAC,22.0,1.0,5.0,10.0,,0.0,0.0,1.0,3.0,4.0,9.0,3.0,7.0,2.0,1.0,2.0,4.0,6.0,10.0
Eric Leckner,89--90,UTA,20.0,1.0,6.0,8.0,,0.0,0.0,1.0,7.0,8.0,7.0,4.0,6.0,2.0,2.0,2.0,5.0,5.0,16.0
Eric Leckner,88--89,UTA,29.0,1.0,8.0,15.0,,0.0,0.0,1.0,6.0,9.0,9.0,4.0,8.0,1.0,1.0,2.0,4.0,6.0,21.0
Jeff Lebo,89--90,SAS,14.0,0.5,1.0,3.0,,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0
Allen Leavell,88--89,HOU,47.0,1.0,6.0,12.0,1.0,1.0,5.0,1.0,5.0,6.0,5.0,2.0,5.0,7.0,3.0,1.0,6.0,5.0,17.0
Allen Leavell,87--88,HOU,44.0,0.8,11.0,18.0,1.0,3.0,6.0,1.0,15.0,16.0,6.0,2.0,5.0,15.0,8.0,2.0,6.0,6.0,26.0
Allen Leavell,86--87,HOU,41.0,1.0,8.0,17.0,1.0,2.0,6.0,1.0,7.0,7.0,5.0,3.0,4.0,13.0,4.0,2.0,5.0,6.0,21.0
Allen Leavell,85--86,HOU,44.0,1.0,9.0,17.0,1.0,2.0,6.0,1.0,8.0,9.0,6.0,1.0,6.0,11.0,5.0,1.0,5.0,6.0,28.0
Allen Leavell,84--85,HOU,,,,,,,,,,,,,,,,,,,
Allen Leavell,83--84,HOU,,,,,,,,,,,,,,,,,,,
Allen Leavell,82--83,HOU,,,,,,,,,,,,,,,,,,,
Allen Leavell,81--82,HOU,,,,,,,,,,,,,,,,,,,
Allen Leavell,80--81,HOU,,,,,,,,,,,,,,,,,,,
Allen Leavell,79--80,HOU,,,,,,,,,,,,,,,,,,,
Ty Lawson,16--17,SAC,37.0,0.889,8.0,13.0,1.0,2.0,5.0,1.0,11.0,14.0,11.0,3.0,10.0,12.0,4.0,1.0,4.0,6.0,22.0
Ty Lawson,15--16,TOT,41.0,1.0,8.0,14.0,1.0,4.0,7.0,1.0,6.0,9.0,6.0,3.0,4.0,11.0,4.0,1.0,5.0,4.0,18.0
Ty Lawson,15--16,IND,26.0,0.75,4.0,8.0,1.0,2.0,2.0,0.5,1.0,2.0,6.0,3.0,4.0,9.0,3.0,1.0,3.0,3.0,9.0
Ty Lawson,15--16,HOU,41.0,1.0,8.0,14.0,1.0,4.0,7.0,1.0,6.0,9.0,5.0,3.0,4.0,11.0,4.0,1.0,5.0,4.0,18.0
Ty Lawson,14--15,DEN,52.0,0.7140000000000001,12.0,21.0,1.0,5.0,8.0,1.0,9.0,13.0,8.0,3.0,7.0,18.0,3.0,2.0,7.0,5.0,32.0
Ty Lawson,13--14,DEN,45.0,0.688,12.0,22.0,1.0,5.0,8.0,1.0,13.0,16.0,9.0,3.0,7.0,17.0,4.0,1.0,8.0,6.0,31.0
Ty Lawson,12--13,DEN,55.0,0.8,13.0,22.0,1.0,5.0,6.0,1.0,11.0,13.0,6.0,4.0,5.0,14.0,5.0,2.0,7.0,5.0,32.0
Ty Lawson,11--12,DEN,49.0,0.857,11.0,21.0,1.0,5.0,7.0,1.0,9.0,12.0,9.0,4.0,8.0,15.0,8.0,2.0,7.0,4.0,29.0
Ty Lawson,10--11,DEN,44.0,0.857,11.0,18.0,1.0,10.0,11.0,1.0,8.0,10.0,7.0,3.0,6.0,11.0,6.0,1.0,6.0,6.0,37.0
Ty Lawson,09--10,DEN,38.0,1.0,9.0,14.0,1.0,3.0,5.0,1.0,8.0,11.0,6.0,3.0,5.0,9.0,3.0,1.0,4.0,4.0,25.0
Jason Lawson,97--98,ORL,15.0,1.0,2.0,5.0,,0.0,0.0,1.0,2.0,2.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0
Gani Lawal,10--11,PHO,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Acie Law,10--11,TOT,32.0,1.0,6.0,11.0,1.0,2.0,5.0,1.0,6.0,6.0,4.0,2.0,4.0,6.0,2.0,0.0,5.0,4.0,15.0
Acie Law,10--11,GSW,32.0,1.0,6.0,11.0,1.0,2.0,5.0,1.0,6.0,6.0,4.0,2.0,4.0,6.0,2.0,0.0,5.0,4.0,15.0
Acie Law,10--11,MEM,14.0,1.0,2.0,5.0,0.0,0.0,2.0,0.75,3.0,6.0,3.0,1.0,3.0,3.0,2.0,0.0,3.0,2.0,4.0
